Sample,Type,Description,Reference,Source,SiO2 ,Al2O3 ,TiO2 ,FeO,Fe2O3 ,FeOT,CaO ,MgO,MnO ,Na2O,K2O,P2O5,LOI,Sum,Cu,V,Cr,Co,Ni,Zn,Rb,Sr,Y,Zr,Nb,Ba,Pb,Sc,Ga,Cs,Hf,Ta,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
VQ-06-26A,Lava,Inclusiones andesiticas. Material de la erupción de 1846-47. ,"Ruprecht, 2012",Quizapu,57.32,17.3,0.8,NaN,NaN,6.27,7.21,3.6,0.12,3.97,1.68,0.19,NaN,98.5,67,174,42,NaN,13,71,44,591,18,128,4,359,8,22,18,NaN,NaN,NaN,4,NaN,17,37,NaN,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VQ-07-44A,Lava,Inclusiones andesiticas. Material de la erupción de 1846-47. ,"Ruprecht, 2012",Quizapu,56.92,17.29,0.81,NaN,NaN,6.53,7.37,3.75,0.12,3.89,1.58,0.19,NaN,98.4,52,181,42,NaN,15,76,41,606,19,121,3,348,9,23,18,NaN,NaN,NaN,5,NaN,17,31,NaN,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VQ-06-17,Tefra,Dacitas y pomez daciticas. Material de la erupción de 1932. ,"Ruprecht, 2012",Quizapu,66.3,15.46,0.53,NaN,NaN,2.94,2.3,0.87,0.09,5.16,3.25,0.14,NaN,97,7,37,13,NaN,13,60,106,269,25,254,7,612,19,8,18,NaN,NaN,NaN,12,NaN,24,48,NaN,23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VQ-06-20,Tefra,Dacitas y pomez daciticas. Material de la erupción de 1932. ,"Ruprecht, 2012",Quizapu,66.74,15.51,0.53,NaN,NaN,2.88,2.28,0.85,0.09,5.15,3.3,0.14,NaN,97.5,11,37,10,NaN,10,59,108,265,24,256,8,618,19,8,20,NaN,NaN,NaN,11,NaN,24,52,NaN,24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VQ-06-21,Tefra,Dacitas y pomez daciticas. Material de la erupción de 1932. ,"Ruprecht, 2012",Quizapu,66.85,15.64,0.55,NaN,NaN,3.04,2.4,0.93,0.09,5.14,3.29,0.14,NaN,98.1,15,39,12,NaN,10,61,108,274,24,252,8,612,19,9,17,NaN,NaN,NaN,11,NaN,25,52,NaN,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VQ-06-23,Tefra,Dacitas y pomez daciticas. Material de la erupción de 1932. ,"Ruprecht, 2012",Quizapu,66.64,15.6,0.54,NaN,NaN,2.96,2.34,0.88,0.09,5.19,3.26,0.14,NaN,97.6,12,36,6,NaN,8,61,105,272,24,255,7,621,20,7,19,NaN,NaN,NaN,12,NaN,24,49,NaN,24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VQ-06-31,Tefra,Dacitas y pomez daciticas. Material de la erupción de 1932. ,"Ruprecht, 2012",Quizapu,66.22,15.6,0.57,NaN,NaN,3.14,2.47,0.91,0.09,5.13,3.21,0.15,NaN,97.5,9,41,11,NaN,5,62,102,278,25,252,6,616,17,8,18,NaN,NaN,NaN,12,NaN,22,50,NaN,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VQ-07-37A,Tefra,Dacitas y pomez daciticas. Material de la erupción de 1932. ,"Ruprecht, 2012",Quizapu,66.5,15.47,0.54,NaN,NaN,2.97,2.38,0.87,0.09,5.13,3.27,0.14,NaN,97.4,12,40,11,NaN,5,61,104,265,25,256,7,617,17,8,18,NaN,NaN,NaN,12,NaN,24,52,NaN,23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VQ-07-37C,Tefra,Dacitas y pomez daciticas. Material de la erupción de 1932. ,"Ruprecht, 2012",Quizapu,66.76,15.38,0.53,NaN,NaN,2.9,2.28,0.84,0.09,5.15,3.33,0.14,NaN,97.4,20,37,15,NaN,7,60,108,256,24,258,6,624,18,7,17,NaN,NaN,NaN,13,NaN,25,57,NaN,26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VQ-07-37D,Tefra,Dacitas y pomez daciticas. Material de la erupción de 1932. ,"Ruprecht, 2012",Quizapu,66.41,15.5,0.54,NaN,NaN,2.94,2.36,0.86,0.09,5.15,3.28,0.14,NaN,97.3,12,36,8,NaN,4,60,105,266,24,255,6,620,17,7,18,NaN,NaN,NaN,12,NaN,24,50,NaN,23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VQ-07-40,Tefra,Dacitas y pomez daciticas. Material de la erupción de 1932. ,"Ruprecht, 2012",Quizapu,66.94,15.45,0.52,NaN,NaN,2.87,2.27,0.81,0.08,5.15,3.34,0.13,NaN,97.6,12,36,10,NaN,5,61,107,258,26,257,7,617,18,7,16,NaN,NaN,NaN,12,NaN,26,47,NaN,23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VQ-07-41,Tefra,Dacitas y pomez daciticas. Material de la erupción de 1932. ,"Ruprecht, 2012",Quizapu,66.42,15.71,0.55,NaN,NaN,3.09,2.53,0.93,0.09,5.15,3.22,0.14,NaN,97.8,9,43,12,NaN,5,62,104,283,25,247,6,609,17,8,17,NaN,NaN,NaN,12,NaN,22,49,NaN,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q-85,Tefra,Escoria inicial y terminal. Material de la erupción de 1932. ,"Ruprecht, 2012",Quizapu,55.26,17.95,0.94,NaN,NaN,7.2,7.78,4.61,0.12,4.11,1.42,0.2,NaN,99.9,63,23,51,NaN,38,64,NaN,548,NaN,144,5,364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q-91,Tefra,Escoria inicial y terminal. Material de la erupción de 1932. ,"Ruprecht, 2012",Quizapu,61.89,17.06,0.73,NaN,NaN,5.03,4.83,2.63,0.11,4.75,2.42,0.16,NaN,99,25,24,17,NaN,23,55,NaN,399,NaN,205,5,534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q-92,Tefra,Escoria inicial y terminal. Material de la erupción de 1932. ,"Ruprecht, 2012",Quizapu,59.84,17.17,0.82,NaN,NaN,5.87,5.72,3.21,0.11,4.62,2.05,0.18,NaN,99.7,30,22,37,NaN,28,58,NaN,434,NaN,185,8,438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q-94,Tefra,Escoria inicial y terminal. Material de la erupción de 1932. ,"Ruprecht, 2012",Quizapu,61.16,16.99,0.76,NaN,NaN,5.37,5.2,2.8,0.11,4.8,2.24,0.18,NaN,99.7,27,26,21,NaN,23,56,NaN,415,NaN,198,9,481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q-95,Tefra,Escoria inicial y terminal. Material de la erupción de 1932. ,"Ruprecht, 2012",Quizapu,57.59,17.86,0.98,NaN,NaN,7.17,6.36,2.91,0.13,4.72,1.59,0.3,NaN,99.3,37,24,3,NaN,9,56,NaN,574,NaN,155,6,432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q-07,Tefra,Escoria inicial y terminal. Material de la erupción de 1932. ,"Ruprecht, 2012",Quizapu,55.41,17.97,0.95,NaN,NaN,7.19,7.82,4.67,0.12,3.86,1.41,0.2,NaN,100.9,55,22,60,NaN,35,60,42,540,NaN,139,3,335,NaN,21,NaN,1.7,3.2,NaN,4,1,15,31,NaN,19,3.4,1,4,0.5,NaN,NaN,NaN,0.4,1.8,0.3
Q-09,Tefra,Escoria inicial y terminal. Material de la erupción de 1932. ,"Ruprecht, 2012",Quizapu,59.65,17.39,0.8,NaN,NaN,5.82,5.9,3.29,0.11,4.4,2.07,0.19,NaN,100.1,37,23,31,17.4,23,57,62,434,NaN,182,5,445,NaN,16,NaN,3,4.6,0.4,7,1.7,19,37,NaN,21,4.3,1,3.7,0.6,NaN,NaN,NaN,0.3,2,0.3
Q-16,Tefra,Escoria inicial y terminal. Material de la erupción de 1932. ,"Ruprecht, 2012",Quizapu,54.54,17.95,1,NaN,NaN,7.57,8.26,4.86,0.13,3.8,1.29,0.22,NaN,100.5,63,20,40,25.6,33,47,36,588,NaN,134,4,338,NaN,22,NaN,1.4,2.9,0.3,4,1.3,14,30,NaN,16,3.9,1,NaN,0.5,NaN,NaN,NaN,NaN,1.7,0.2
Q-17,Tefra,Escoria inicial y terminal. Material de la erupción de 1932. ,"Ruprecht, 2012",Quizapu,52.57,18.62,1.04,NaN,NaN,8.03,9.12,5.35,0.13,3.55,0.98,0.23,NaN,100.7,66,18,68,29,43,59,26,599,NaN,121,3,273,NaN,24,NaN,1,2.4,0.2,3,0.6,13,27,NaN,17,3.8,1.1,4.3,0.5,NaN,NaN,NaN,0.2,1.6,0.2
Q-18,Tefra,Escoria inicial y terminal. Material de la erupción de 1932. ,"Ruprecht, 2012",Quizapu,55.34,17.95,0.96,NaN,NaN,7.21,7.96,4.5,0.12,3.92,1.42,0.22,NaN,99.9,58,20,59,24.2,38,59,40,544,NaN,147,3,353,NaN,21,NaN,1.8,3.1,0.3,5,1.1,15,32,NaN,16,3.9,1,NaN,0.6,NaN,NaN,NaN,NaN,1.7,0.2
Q-89,Tefra,Escoria inicial y terminal. Material de la erupción de 1932. ,"Ruprecht, 2012",Quizapu,52.12,18.71,1.05,NaN,NaN,8.11,9.01,5.43,0.13,3.82,0.99,0.22,NaN,99.6,71,19,64,NaN,46,60,NaN,610,NaN,121,6,285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q-93,Tefra,Escoria inicial y terminal. Material de la erupción de 1932. ,"Ruprecht, 2012",Quizapu,57.83,18.14,0.96,NaN,NaN,7,6.21,2.81,0.13,4.61,1.6,0.3,NaN,99.9,29,23,15,NaN,10,55,NaN,581,NaN,156,6,432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q-01,Tefra,Escoria inicial y terminal. Material de la erupción de 1932. ,"Ruprecht, 2012",Quizapu,57.37,17.95,1.03,NaN,NaN,7.36,6.49,3.05,0.14,4.3,1.59,0.32,NaN,99.3,40,24,10,NaN,12,75,NaN,550,NaN,162,6,445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VQ-06-18,Tefra,Escoria inicial y terminal. Material de la erupción de 1932. ,"Ruprecht, 2012",Quizapu,54.27,17.91,0.97,NaN,NaN,7.21,8.03,4.77,0.13,3.75,1.29,0.21,NaN,98.5,59,201,110,NaN,67,75,34,587,17,117,6,322,9,23,19,NaN,NaN,NaN,3,NaN,15,29,NaN,17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VQ-07-37B,Tefra,Escoria inicial y terminal. Material de la erupción de 1932. ,"Ruprecht, 2012",Quizapu,59.52,16.94,0.79,NaN,NaN,5.54,5.53,2.99,0.11,4.41,2.11,0.19,NaN,98.1,40,131,36,NaN,21,73,62,445,21,173,5,455,12,16,19,NaN,NaN,NaN,8,NaN,19,40,NaN,21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VQ-07-42,Tefra,Escoria inicial y terminal. Material de la erupción de 1932. ,"Ruprecht, 2012",Quizapu,54.42,17.91,0.97,NaN,NaN,7.14,8.02,4.72,0.13,3.77,1.33,0.21,NaN,98.6,82,194,63,NaN,38,74,35,577,18,117,4,326,7,24,18,NaN,NaN,NaN,4,NaN,13,33,NaN,19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MH-12-29c En,Lava,1846-47 Lavas.,"Higgins, 2015",Quizapu,57.22,17.37,0.78,NaN,7.48,NaN,7.47,3.7,0.12,4.07,1.46,0.17,NaN,99.95,17.95,160.71,38.79,19.11,9.52,65.70,44.03,545.41,NaN,145.21,4.32,365.12,9.92,23.99,17.77,1.40,3.47,0.22,5.02,1.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MH-12-02 Enc,Lava,1846-47 Lavas.,"Higgins, 2015",Quizapu,57.34,17.22,0.76,NaN,7.08,NaN,7.36,3.63,0.12,3.9,1.61,0.17,NaN,99.79,45.28,161.58,37.07,19.37,9.23,71.01,45.32,573.24,NaN,144.20,4.62,364.45,13.87,23.65,17.23,2.18,3.45,0.24,5.10,1.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MH-12-29b En,Lava,1846-47 Lavas.,"Higgins, 2015",Quizapu,57.39,17.32,0.75,NaN,6.93,NaN,7.16,3.58,0.12,4.05,1.62,0.17,NaN,99.39,19.26,153.30,37.27,19.00,10.30,65.30,52.97,548.14,NaN,155.73,3.94,377.65,28.63,24.05,17.35,2.41,3.62,0.25,5.39,1.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MH-12-05,Lava,1846-47 Lavas.,"Higgins, 2015",Quizapu,58.9,17.56,0.75,NaN,6.78,NaN,6.79,3.35,0.12,4.2,1.78,0.19,NaN,100.62,49.36,145.36,29.94,17.27,8.60,64.76,49.83,495.70,NaN,162.59,4.64,402.44,9.85,21.98,17.59,2.06,3.88,0.27,5.80,1.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MH-12-06,Lava,1846-47 Lavas.,"Higgins, 2015",Quizapu,59.24,17.4,0.73,NaN,6.53,NaN,6.47,3.17,0.12,4.25,1.9,0.19,NaN,100.19,48.95,138.18,29.73,16.04,7.76,65.22,55.34,523.81,NaN,171.25,4.75,436.77,11.64,21.32,17.26,2.77,4.12,0.27,6.23,1.77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MH-12-08,Lava,1846-47 Lavas.,"Higgins, 2015",Quizapu,59.34,16.95,0.74,NaN,6.39,NaN,6.4,3.09,0.12,4.22,1.88,0.18,NaN,99.69,43.75,133.90,27.43,15.75,7.65,66.02,55.90,514.58,NaN,174.46,5.16,416.68,11.54,22.13,17.22,2.75,4.10,0.25,6.27,1.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MH-12-09,Lava,1846-47 Lavas.,"Higgins, 2015",Quizapu,60.83,17.12,0.72,NaN,6.15,NaN,6.06,3,0.12,4.37,2.05,0.18,NaN,100.63,35.47,127.59,27.09,53.32,7.29,63.95,63.14,478.04,NaN,190.58,5.15,444.12,10.47,19.56,16.87,3.09,4.51,0.29,5.95,1.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MH-12-03,Lava,1846-47 Lavas.,"Higgins, 2015",Quizapu,61.85,16.69,0.67,NaN,5.6,NaN,5.14,2.48,0.11,4.6,2.35,0.18,NaN,99.9,29.28,105.27,22.47,12.51,5.72,62.80,73.71,394.44,NaN,214.47,5.55,494.52,14.73,17.96,17.64,3.78,5.09,0.37,8.21,2.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MH-12-04,Lava,1846-47 Lavas.,"Higgins, 2015",Quizapu,61.91,16.73,0.67,NaN,5.67,NaN,5.31,2.48,0.11,4.68,2.28,0.17,NaN,100.34,34.66,108.12,22.56,12.76,6.91,61.25,71.41,408.96,NaN,211.89,5.47,484.70,13.45,18.91,17.35,3.68,5.07,0.35,7.98,2.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MH-12-07,Lava,1846-47 Lavas.,"Higgins, 2015",Quizapu,62.3,16.62,0.66,NaN,5.46,NaN,5.05,2.4,0.11,4.62,2.37,0.17,NaN,100.29,29.83,100.07,19.23,11.91,5.55,62.09,75.48,400.31,NaN,216.93,6.30,499.15,13.74,18.26,17.50,3.81,5.13,0.37,8.44,2.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MH-12-22,Lava,1846-47 Lavas.,"Higgins, 2015",Quizapu,63.04,16.52,0.68,NaN,5.2,NaN,4.52,2.26,0.1,4.85,2.57,0.17,NaN,100.01,22.57,90.24,19.98,11.43,14.72,62.87,80.92,359.85,NaN,236.05,8.26,527.79,14.94,16.76,18.37,4.00,5.63,0.48,8.98,2.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MH-12-21,Lava,1846-47 Lavas.,"Higgins, 2015",Quizapu,64.32,16.21,0.6,NaN,4.45,NaN,3.65,1.65,0.1,5,2.79,0.16,NaN,99.27,20.34,67.39,11.13,9.03,10.46,60.33,91.21,327.23,NaN,258.23,7.21,565.74,16.27,15.01,17.69,4.47,6.18,0.49,10.12,2.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MH-12-12,Lava,1846-47 Lavas.,"Higgins, 2015",Quizapu,64.9,16.06,0.58,NaN,4.42,NaN,3.76,1.57,0.1,4.89,2.81,0.16,NaN,99.58,18.52,67.32,11.35,7.54,2.68,56.45,95.46,311.34,NaN,271.79,6.79,578.11,16.19,14.43,17.44,5.03,6.24,0.43,10.52,2.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MH-12-29c,Lava,1846-47 Lavas.,"Higgins, 2015",Quizapu,64.96,16.11,0.59,NaN,4.36,NaN,3.77,1.62,0.1,4.95,2.82,0.16,NaN,99.61,20.11,68.17,10.71,7.50,3.56,56.31,96.90,316.02,NaN,268.80,6.96,585.66,15.46,15.76,16.92,4.96,6.33,0.44,10.45,3.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MH-12-29a,Lava,1846-47 Lavas.,"Higgins, 2015",Quizapu,64.98,16.36,0.59,NaN,4.47,NaN,3.71,1.63,0.1,5.02,2.86,0.16,NaN,99.96,21.19,66.38,10.92,7.29,3.03,57.45,97.61,312.39,NaN,274.73,6.77,589.26,16.00,14.86,17.26,5.02,6.25,0.45,10.51,2.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MH-12-10,Lava,1846-47 Lavas.,"Higgins, 2015",Quizapu,65.01,15.98,0.59,NaN,4.6,NaN,3.62,1.53,0.1,4.96,2.87,0.16,NaN,99.92,21.25,64.71,8.56,7.03,2.70,56.20,95.46,294.49,NaN,263.35,6.95,568.74,15.68,13.14,16.89,5.03,6.16,0.41,10.35,2.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MH-12-02,Lava,1846-47 Lavas.,"Higgins, 2015",Quizapu,65.1,16.07,0.59,NaN,4.36,NaN,3.83,1.57,0.1,4.89,2.82,0.16,NaN,99.83,22.54,70.59,12.44,7.56,3.01,58.60,93.35,318.20,NaN,251.27,6.94,570.14,15.93,15.53,17.82,4.97,6.03,0.46,10.28,2.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MH-12-27,Lava,1846-47 Lavas.,"Higgins, 2015",Quizapu,65.37,16.31,0.57,NaN,4.21,NaN,3.41,1.5,0.1,5.04,2.93,0.16,NaN,100,18.21,60.74,9.27,6.73,2.58,57.10,102.06,307.15,NaN,282.94,7.52,603.70,16.98,15.46,18.83,5.36,6.58,0.48,10.97,3.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MH-12-28,Lava,1846-47 Lavas.,"Higgins, 2015",Quizapu,66.07,16.1,0.56,NaN,3.99,NaN,3.19,1.28,0.1,5.16,3.07,0.15,NaN,99.9,17.21,53.29,7.46,5.65,1.85,55.39,104.98,273.56,NaN,289.21,7.12,618.33,25.51,14.42,17.19,5.48,6.81,0.47,11.29,3.17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MH-12-13,Lava,1846-47 Lavas.,"Higgins, 2015",Quizapu,66.21,15.9,0.56,NaN,4.12,NaN,3.17,1.29,0.09,5.06,3.04,0.15,NaN,99.87,14.29,53.19,7.39,5.54,2.65,53.19,105.26,271.37,NaN,290.51,7.08,607.62,16.52,14.63,17.31,5.42,6.80,0.45,11.49,3.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MH-12-24,Lava,1846-47 Lavas.,"Higgins, 2015",Quizapu,66.58,16.04,0.55,NaN,4.1,NaN,2.92,1.05,0.1,5.2,3.05,0.18,NaN,100.12,11.93,47.65,4.15,4.59,1.55,54.94,105.99,278.38,NaN,288.72,8.05,633.71,18.38,12.43,18.01,5.48,6.61,0.51,11.28,3.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MH-12-16,Lava,1846-47 Lavas.,"Higgins, 2015",Quizapu,67.25,15.96,0.5,NaN,3.29,NaN,2.47,0.89,0.09,5.3,3.31,0.14,NaN,99.24,10.40,33.30,2.30,3.26,0.88,45.70,114.15,238.19,NaN,272.90,7.80,661.32,15.11,11.20,17.45,3.47,6.78,0.63,12.36,3.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MH-12-14,Lava,1846-47 Lavas.,"Higgins, 2015",Quizapu,67.56,15.96,0.52,NaN,3.4,NaN,2.5,0.9,0.09,5.38,3.32,0.15,NaN,100.26,9.23,34.96,2.41,3.23,0.61,54.95,115.08,239.82,NaN,316.76,7.77,654.56,33.73,11.46,17.31,6.16,7.24,0.49,12.23,3.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MH-12-11,Lava,1846-47 Lavas.,"Higgins, 2015",Quizapu,67.7,15.64,0.52,NaN,3.24,NaN,2.43,0.82,0.09,5.24,3.47,0.14,NaN,99.71,12.72,34.23,2.45,3.28,0.75,53.58,118.11,241.59,NaN,318.73,7.45,658.59,18.98,11.59,16.99,6.19,7.28,0.50,12.44,3.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MH-12-18,Lava,1846-47 Lavas.,"Higgins, 2015",Quizapu,67.87,15.83,0.5,NaN,3.26,NaN,2.34,0.84,0.09,5.36,3.35,0.13,NaN,100.47,11.47,33.88,<0.5,3.72,4.57,60.42,109.78,253.16,NaN,297.26,8.84,637.76,18.65,13.46,17.81,5.52,7.13,0.58,12.17,3.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
